event_id,ra,dec,energy,arrival_time,instrument,t90_s
bn180614327,52.22,-75.17,4.126e-07,58283.3271,Fermi-GBM,9.216
bn141022087,119.39,-75.17,8.9994e-05,56952.0866,Fermi-GBM,9.216
bn100112418,240.14,-75.1,1.0497e-06,55208.4176,Fermi-GBM,23.04
bn210411564,115.68,-74.84,3.749e-06,59315.5644,Fermi-GBM,47.873
bn190304818,357.74,-74.84,2.9826e-06,58546.8176,Fermi-GBM,2.88
bn161213295,238.61,-40.07,1.1945e-06,57735.2952,Fermi-GBM,23.296
bn121116459,180.88,-74.79,4.9152e-07,56247.4586,Fermi-GBM,0.832
bn210721978,31.5333,-75.2167,9.3388e-07,59416.9782,Fermi-GBM,9.984
bn091117080,246.54,-73.94,3.6824e-06,55152.0801,Fermi-GBM,113.664
bn190327111,79.07,-74.67,6.3281e-06,58569.1105,Fermi-GBM,36.864
bn110212550,311.33,-74.5,6.3493e-07,55604.5504,Fermi-GBM,0.064
bn161012637,160.43,-74.28,6.1394e-07,57673.637,Fermi-GBM,6.4
bn141221897,126.02,-74.21,7.4393e-06,57012.8971,Fermi-GBM,32.513
bn150602840,289.87,-74.21,4.7133e-06,57175.8398,Fermi-GBM,10.496
bn190825171,210.86,-74.14,2.1626e-07,58720.1715,Fermi-GBM,12.032
bn080714425,187.5,-74.0,1.8139e-06,54661.425,Fermi-GBM,40.192
bn260208905,327.73,-38.97,2.7688e-06,61079.9047,Fermi-GBM,23.808
bn200809654,15.8295,-73.8456,1.4822e-06,59070.6538,Fermi-GBM,17.408
bn181103046,295.48,-73.76,6.0455e-07,58425.0464,Fermi-GBM,11.776
bn260109362,197.53,-73.94,6.1855e-07,61049.3621,Fermi-GBM,24.896
bn110517453,296.09,-73.76,9.8898e-08,55698.4532,Fermi-GBM,0.576
bn170304003,330.5,-73.76,3.1497e-07,57816.0031,Fermi-GBM,0.16
bn140712973,83.48,-73.62,5.0997e-06,56850.9728,Fermi-GBM,28.16
bn201227635,170.121,-73.613,3.429e-06,59210.6348,Fermi-GBM,0.112
bn090304216,195.9,-73.4,8.9864e-07,54894.2158,Fermi-GBM,2.816
bn151026523,107.39,-73.32,4.3163e-06,57321.5227,Fermi-GBM,63.232
bn130425327,17.78,-72.85,4.1678e-05,56407.3273,Fermi-GBM,62.209
bn160625230,314.53,-73.26,3.3536e-06,57564.2305,Fermi-GBM,43.265
bn100604287,248.3,-73.19,5.5087e-06,55351.2872,Fermi-GBM,13.44
bn140213807,105.218,-73.136,2.1248e-05,56701.8066,Fermi-GBM,18.624
bn090922605,38.36,-73.08,4.5135e-06,55096.6046,Fermi-GBM,52.736
bn190422284,306.66,-73.01,1.3558e-05,58595.2835,Fermi-GBM,80.386
bn090513941,99.1,-72.9,1.0415e-06,54964.9414,Fermi-GBM,11.776
bn160325291,15.6521,-72.6967,1.8598e-05,57472.2912,Fermi-GBM,42.945
bn231214850,305.686,-72.433,1.9361e-05,60292.8503,Fermi-GBM,20.992
bn100926595,222.75,-72.35,6.9728e-06,55465.5952,Fermi-GBM,32.256
bn191112369,164.42,-72.27,8.2268e-06,58799.369,Fermi-GBM,50.432
bn200616048,116.16,-72.23,2.758e-06,59016.0481,Fermi-GBM,23.297
bn090120627,38.1,-72.2,7.6823e-07,54851.6267,Fermi-GBM,1.856
bn240727250,97.786,-37.18,2.852e-06,60518.2501,Fermi-GBM,18.688
bn141022061,241.901,-72.129,5.602e-07,56952.061,Fermi-GBM,11.52
bn091102607,72.6161,-72.5197,1.8772e-06,55137.6074,Fermi-GBM,6.656
bn170113420,61.735,-71.933,2.0371e-06,57766.4196,Fermi-GBM,49.152
bn120827216,222.74,-71.89,3.3669e-06,56166.2156,Fermi-GBM,5.056
bn100517639,52.73,-71.87,2.9107e-06,55333.6389,Fermi-GBM,5.44
bn090802666,267.02,-71.77,2.7698e-06,55045.6655,Fermi-GBM,27.52
bn110618366,176.808,-71.688,6.2375e-05,55730.3664,Fermi-GBM,163.843
bn090516137,122.2,-71.62,1.6153e-05,54967.137,Fermi-GBM,110.594
bn090927422,343.95,-70.98,3.0258e-07,55101.4217,Fermi-GBM,0.512
bn190906767,171.84,-71.57,2.2883e-06,58732.7675,Fermi-GBM,23.04
bn210501205,357.84,-71.3,4.7016e-07,59335.2049,Fermi-GBM,8.192
bn130320560,195.539,-71.259,5.7803e-05,56371.5601,Fermi-GBM,340.992
bn250824568,248.34,-35.61,5.5401e-08,60911.5682,Fermi-GBM,0.576
bn201104001,81.4,-71.1,1.3058e-05,59157.0007,Fermi-GBM,52.48
bn120711115,94.69,-71.0,0.00019428,56119.1145,Fermi-GBM,44.033
bn250319214,246.18,-70.9,3.1884e-07,60753.2135,Fermi-GBM,1.056
bn180801492,3.38,-70.68,1.3352e-06,58331.4922,Fermi-GBM,7.424
bn171212434,39.44,-70.62,5.0312e-06,58099.4335,Fermi-GBM,32.001
bn230617926,139.45,-70.53,1.4248e-07,60112.9261,Fermi-GBM,2.56
bn140616165,104.94,-70.51,2.8079e-07,56824.1646,Fermi-GBM,0.512
bn200120962,137.134,-70.4363,8.6054e-06,58868.9618,Fermi-GBM,12.8
bn090606471,146.94,-70.49,9.4591e-07,54988.4709,Fermi-GBM,8.064
bn230709735,267.56,-70.47,5.8382e-06,60134.735,Fermi-GBM,0.192
bn130505955,344.47,-70.47,9.873e-06,56417.955,Fermi-GBM,50.241
bn191111547,239.41,-70.42,8.6363e-06,58798.5467,Fermi-GBM,158.212
bn130327350,218.09,-69.51,5.1995e-05,56378.35,Fermi-GBM,31.233
