event_id,ra,dec,energy,arrival_time,instrument,t90_s
bn220826497,206.431,-44.044,2.1101e-06,59817.4968,Fermi-GBM,16.64
bn101004426,232.22,-43.99,9.0255e-06,55473.4263,Fermi-GBM,161.027
bn090514734,316.0333,-43.9667,9.5504e-06,54965.734,Fermi-GBM,54.401
bn240305409,6.278,-43.904,8.7206e-07,60374.4093,Fermi-GBM,13.056
bn151111356,56.8452,-44.1615,2.2064e-06,57337.3565,Fermi-GBM,46.336
bn230628067,351.77,-43.85,8.3177e-06,60123.0667,Fermi-GBM,28.673
bn250827649,346.84,-43.78,1.0028e-06,60914.6492,Fermi-GBM,2.304
bn180131528,307.06,-43.66,4.1244e-08,58149.5277,Fermi-GBM,0.96
bn230304624,210.84,-43.21,1.3662e-05,60007.6244,Fermi-GBM,28.416
bn090928646,103.91,-43.53,1.9528e-06,55102.6457,Fermi-GBM,15.616
bn260311150,291.29,-43.53,2.9517e-07,61110.1498,Fermi-GBM,2.176
bn150418819,312.43,-43.53,6.4146e-07,57130.8191,Fermi-GBM,3.84
bn201016136,7.98,-31.82,4.5372e-06,59138.1364,Fermi-GBM,165.123
bn191125634,353.54,18.2,2.7194e-06,58812.6339,Fermi-GBM,46.336
bn180201706,251.32,-43.47,2.2681e-07,58150.7055,Fermi-GBM,0.192
bn210228058,283.48,-43.13,5.3379e-07,59273.0576,Fermi-GBM,3.776
bn120719146,204.29,-43.45,1.3548e-05,56127.1458,Fermi-GBM,75.009
bn081118876,54.6,-43.3,4.9389e-06,54788.8756,Fermi-GBM,20.736
bn090320045,108.3,-43.3,4.447e-07,54910.0453,Fermi-GBM,2.368
bn090623107,309.0,-43.24,1.1845e-05,55005.1071,Fermi-GBM,47.105
bn111103948,201.58,-43.16,2.8185e-07,55868.948,Fermi-GBM,0.32
bn191221802,40.83,-43.04,4.6276e-07,58838.8017,Fermi-GBM,2.24
bn230116374,115.533,-43.027,2.9539e-06,59960.3744,Fermi-GBM,0.064
bn200205845,223.21,-42.78,6.3807e-07,58884.8454,Fermi-GBM,17.408
bn090227310,3.3,-43.0,2.856e-06,54889.3097,Fermi-GBM,16.189
bn141011467,259.38,-43.0,2.8852e-06,56941.4672,Fermi-GBM,12.029
bn200228291,333.893,-42.9443,6.9265e-06,58907.2907,Fermi-GBM,3.584
bn221206464,244.15,-42.74,2.8251e-06,59919.4635,Fermi-GBM,15.872
bn150324164,180.81,-42.72,4.8485e-06,57105.164,Fermi-GBM,4.608
bn090620901,241.38,-43.02,4.3097e-07,55002.9011,Fermi-GBM,0.96
bn151210041,293.97,-42.7,3.4533e-06,57366.0412,Fermi-GBM,37.633
bn230712868,351.15,-42.61,2.2815e-06,60137.868,Fermi-GBM,16.896
bn121109338,6.84,-42.57,5.3365e-06,56240.3382,Fermi-GBM,22.144
bn200803703,198.5,-42.5,8.5331e-06,59064.7033,Fermi-GBM,54.784
bn080823363,89.8,-42.4,5.546e-06,54701.3627,Fermi-GBM,43.456
bn190531840,24.37,-41.97,9.8106e-05,58634.8404,Fermi-GBM,38.145
bn251208536,312.79,-30.74,7.9e-07,61017.5365,Fermi-GBM,0.096
bn240306282,20.61,-41.95,3.1931e-06,60375.2818,Fermi-GBM,8.96
bn220727192,123.92,-42.38,1.4939e-06,59787.192,Fermi-GBM,6.461
bn210904866,124.65,-42.2,5.643e-07,59461.8664,Fermi-GBM,3.904
bn200616654,148.24,-42.2,2.1359e-06,59016.654,Fermi-GBM,24.576
bn130404840,146.58,-42.16,8.355e-06,56386.8403,Fermi-GBM,34.561
bn090610723,275.99,-42.09,3.7413e-06,54992.7233,Fermi-GBM,146.434
bn090701225,114.69,-42.07,4.4247e-07,55013.225,Fermi-GBM,4.16
bn090328401,90.9,-42.0,4.2022e-05,54918.4005,Fermi-GBM,61.697
bn180124392,330.86,-41.94,3.4097e-06,58142.3916,Fermi-GBM,86.528
bn190824616,215.329,-41.902,1.0378e-05,58719.6157,Fermi-GBM,108.546
bn210704684,203.44,-41.87,4.2328e-05,59399.6842,Fermi-GBM,43.521
bn150228845,231.32,-41.87,6.5931e-06,57081.8447,Fermi-GBM,4.125
bn110709862,156.21,-41.79,7.9744e-07,55751.8617,Fermi-GBM,5.376
bn231104966,10.88,-41.76,2.6028e-06,60252.9657,Fermi-GBM,13.568
bn210605215,21.67,-41.51,3.5422e-07,59370.2146,Fermi-GBM,0.448
bn170801690,343.18,-41.75,7.5594e-07,57966.6901,Fermi-GBM,10.24
bn250920643,51.4644,-29.6566,2.9633e-05,60938.6426,Fermi-GBM,36.609
bn200412290,140.01,-41.67,2.875e-05,58951.2897,Fermi-GBM,12.606
bn240605171,90.41,-41.63,1.3142e-07,60466.1711,Fermi-GBM,0.928
bn150219522,271.266,-41.5849,7.7158e-06,57072.5217,Fermi-GBM,36.097
bn220831581,24.2554,-41.5819,5.0514e-07,59822.5809,Fermi-GBM,1.728
bn211229145,295.044,23.133,1.3078e-05,59577.1453,Fermi-GBM,119.807
bn221226945,22.9089,-41.5265,1.1402e-06,59939.9454,Fermi-GBM,4.864
bn131113483,157.99,-41.52,2.3036e-05,56609.4831,Fermi-GBM,60.545
bn090327404,33.1,-41.5,2.8155e-06,54917.404,Fermi-GBM,14.08
bn090117335,227.3,-41.5,1.104e-06,54848.3347,Fermi-GBM,27.264
bn160131116,333.69,-41.44,1.7721e-06,57418.1156,Fermi-GBM,34.816
bn180401846,166.57,-41.42,2.2974e-05,58209.8456,Fermi-GBM,23.04
bn240810880,140.09,-41.4,1.1072e-06,60532.8801,Fermi-GBM,1.536
bn220725244,250.08,-41.4,8.5253e-08,59785.2437,Fermi-GBM,0.512
bn230707782,28.55,-41.29,4.1448e-05,60132.7822,Fermi-GBM,99.586
bn210228277,91.62,-41.29,1.0914e-05,59273.2767,Fermi-GBM,42.753
bn110420946,320.045,-41.277,2.4411e-07,55671.946,Fermi-GBM,0.128
bn250225819,306.145,-41.484,1.8574e-05,60731.8189,Fermi-GBM,335.111
bn170219110,78.69,-41.23,8.3544e-07,57803.1098,Fermi-GBM,10.24
bn200224212,177.9,-28.87,3.6841e-05,58903.2124,Fermi-GBM,299.525
bn140721336,175.71,-41.21,5.5154e-05,56859.3357,Fermi-GBM,127.746
bn200105914,323.03,-41.18,3.3754e-06,58853.9135,Fermi-GBM,16.896
bn190626254,145.7,-41.11,1.7294e-06,58660.2544,Fermi-GBM,23.808
bn230217912,280.771,-28.856,1.7254e-05,59992.9119,Fermi-GBM,0.896
bn240514431,164.84,24.13,1.6654e-06,60444.4306,Fermi-GBM,22.016
bn201218177,286.88,24.18,0.00010864,59201.1766,Fermi-GBM,14.336
bn140329272,92.35,-41.08,2.3798e-07,56745.2718,Fermi-GBM,0.064
bn180122129,26.43,-41.06,7.042e-07,58140.1289,Fermi-GBM,4.352
bn260213736,145.98,-40.63,4.5269e-06,61084.7362,Fermi-GBM,22.528
bn251126665,321.15,-28.24,3.6924e-07,61005.6646,Fermi-GBM,15.104
bn220528259,311.21,24.3,1.3159e-06,59727.2589,Fermi-GBM,0.576
bn100907751,177.29,-40.63,7.3333e-07,55446.7508,Fermi-GBM,5.376
bn191019970,216.34,-40.63,7.0178e-05,58775.9703,Fermi-GBM,137.73
bn210625891,247.5,-41.01,1.0297e-06,59390.8912,Fermi-GBM,4.096
bn120727354,163.26,25.09,1.0912e-07,56135.3539,Fermi-GBM,0.896
bn150817251,31.05,-41.0,7.2761e-06,57251.2506,Fermi-GBM,13.312
bn150222832,294.54,-40.94,3.842e-06,57075.832,Fermi-GBM,74.752
bn230903724,9.926,-40.924,4.05e-07,60190.7243,Fermi-GBM,2.816
bn241016680,108.68,-40.82,1.5036e-07,60599.6804,Fermi-GBM,0.064
bn250917093,313.52,-40.76,1.0708e-07,60935.0925,Fermi-GBM,0.48
bn150923429,267.81,-40.66,2.606e-07,57288.4294,Fermi-GBM,0.192
bn240226815,290.54,-40.09,3.8991e-06,60366.8147,Fermi-GBM,158.723
bn131211510,271.34,-40.61,4.5074e-06,56637.5103,Fermi-GBM,44.8
bn260418681,34.69,-40.54,2.4506e-06,61148.6808,Fermi-GBM,11.776
bn190222312,214.53,-40.53,3.3355e-06,58536.3122,Fermi-GBM,13.824
bn250225268,59.96,-40.5,1.6223e-06,60731.2676,Fermi-GBM,52.48
bn210202841,232.23,-40.4,1.5544e-05,59247.8406,Fermi-GBM,17.664
bn250504976,269.617,-40.366,7.0208e-06,60799.9763,Fermi-GBM,48.897
bn250223692,340.56,-40.29,8.7459e-08,60729.6918,Fermi-GBM,1.216
bn160411062,349.357,-40.2423,2.2505e-07,57489.0617,Fermi-GBM,0.672
bn210519277,187.87,-40.23,3.8125e-06,59353.277,Fermi-GBM,25.024
bn130509078,240.85,-40.22,9.0069e-06,56421.0779,Fermi-GBM,24.32
bn141230871,246.93,-40.18,1.4789e-07,57021.8709,Fermi-GBM,0.224
bn200522650,87.0,-39.82,2.602e-06,58991.6505,Fermi-GBM,30.977
bn130609902,53.77,-40.176,5.4428e-05,56452.9018,Fermi-GBM,191.491
bn220921462,66.85,-40.0,5.6716e-05,59843.4625,Fermi-GBM,209.988
bn201221978,158.07,-39.92,1.6077e-06,59204.9783,Fermi-GBM,7.168
bn161004964,112.157,-39.895,1.7325e-05,57665.9638,Fermi-GBM,12.8
bn240303837,329.93,-39.78,2.6227e-06,60372.8369,Fermi-GBM,3.968
bn110118857,226.57,-39.55,2.966e-06,55579.8572,Fermi-GBM,34.561
bn181008877,94.65,-39.54,2.6304e-05,58399.8767,Fermi-GBM,224.516
bn220721021,356.6,-39.52,5.3887e-07,59781.0211,Fermi-GBM,17.92
bn110625579,315.33,-39.44,3.5648e-06,55737.5788,Fermi-GBM,33.281
bn150708339,308.56,-39.36,1.7087e-05,57211.3394,Fermi-GBM,95.234
bn120121101,235.67,-39.34,1.9545e-06,55947.1013,Fermi-GBM,18.432
bn150522433,289.32,-39.67,2.29e-06,57164.4332,Fermi-GBM,43.776
bn170510217,159.911,-39.328,4.3867e-05,57883.217,Fermi-GBM,127.746
bn170802638,52.3,-39.21,2.4481e-06,57967.6378,Fermi-GBM,2.24
bn150523690,202.27,-39.2,5.729e-06,57165.6902,Fermi-GBM,114.69
bn211019250,109.56,-39.19,0.00010706,59506.2497,Fermi-GBM,47.361
bn140619490,304.96,-39.18,2.1028e-07,56827.4903,Fermi-GBM,0.448
bn170607946,246.661,-39.159,4.9527e-05,57911.9458,Fermi-GBM,18.176
bn251016625,266.207,-39.577,2.1824e-06,60964.6245,Fermi-GBM,0.32
bn201121062,210.83,-27.93,1.1026e-05,59174.0624,Fermi-GBM,59.649
bn090316311,256.1,-38.9,1.064e-06,54906.3109,Fermi-GBM,10.24
bn101205309,322.1,-39.1,3.9049e-07,55535.3086,Fermi-GBM,7.936
bn100625773,15.7949,-39.0883,5.6346e-07,55372.7726,Fermi-GBM,0.24
bn180524416,140.05,-39.05,6.192e-07,58262.4156,Fermi-GBM,13.312
bn090926914,46.318,-39.011,1.0534e-05,55100.9135,Fermi-GBM,64.001
bn170323058,145.19,-39.0,1.5667e-06,57835.0579,Fermi-GBM,33.536
bn090907017,86.33,-38.85,4.5416e-06,55081.0168,Fermi-GBM,39.489
bn140710537,2.8,-38.88,3.8259e-07,56848.5369,Fermi-GBM,0.384
bn201121130,234.94,-38.88,1.4777e-06,59174.1304,Fermi-GBM,15.36
bn181222279,270.731,-38.848,0.00015524,58474.2789,Fermi-GBM,130.691
bn250509940,46.2296,-38.8413,6.4239e-06,60804.9399,Fermi-GBM,69.12
bn150423285,220.39,-38.84,1.2639e-06,57135.2852,Fermi-GBM,14.336
bn240629704,314.52,-38.83,3.6081e-06,60490.7041,Fermi-GBM,7.165
bn190519309,114.767,-38.8052,3.1133e-05,58622.309,Fermi-GBM,43.521
bn090117632,121.6,-38.8,9.0634e-06,54848.6324,Fermi-GBM,86.017
bn200320414,184.34,-38.74,2.3873e-06,58928.4144,Fermi-GBM,9.021
bn110609425,317.63,-38.16,2.3535e-06,55721.4251,Fermi-GBM,33.024
bn101224998,325.17,-38.66,1.3553e-06,55554.9983,Fermi-GBM,18.688
bn110721200,332.456,-38.628,3.7042e-05,55763.1998,Fermi-GBM,21.822
bn111107076,315.46,-38.53,1.0405e-05,55872.0762,Fermi-GBM,77.185
bn251121688,220.263,-38.513,3.3681e-07,61000.6882,Fermi-GBM,0.32
bn150712846,20.25,-38.46,2.4535e-06,57215.846,Fermi-GBM,59.648
bn241024337,117.27,-27.61,6.1263e-06,60607.3374,Fermi-GBM,31.233
bn170915161,120.26,-38.42,7.4085e-06,58011.1608,Fermi-GBM,15.613
bn190712018,341.06,-38.41,2.1821e-07,58676.0176,Fermi-GBM,1.792
bn180821653,309.78,-38.12,1.0725e-06,58351.6532,Fermi-GBM,13.568
bn101206036,164.08,-38.11,5.8414e-06,55536.0363,Fermi-GBM,34.813
bn200103678,355.38,-38.36,9.1401e-07,58851.6784,Fermi-GBM,9.984
bn170125102,359.41,-38.23,1.0424e-07,57778.1022,Fermi-GBM,0.672
bn220305676,109.17,-38.18,9.1025e-06,59643.6757,Fermi-GBM,27.137
bn120919052,298.0,-38.07,2.0674e-05,56189.0517,Fermi-GBM,118.018
bn171207809,219.42,-38.06,2.157e-06,58094.8086,Fermi-GBM,25.6
bn140706815,49.2952,-38.0508,2.4869e-06,56844.815,Fermi-GBM,43.776
bn210415284,130.32,-37.94,6.041e-07,59319.2836,Fermi-GBM,16.896
bn120612687,39.67,-37.91,7.0505e-07,56090.6873,Fermi-GBM,0.256
bn220523175,136.66,-37.46,5.7853e-07,59722.1747,Fermi-GBM,7.68
bn170614505,310.99,-37.91,4.2351e-07,57918.5046,Fermi-GBM,5.376
bn150603105,74.77,-37.87,2.1035e-06,57176.1054,Fermi-GBM,67.328
bn231222299,164.71,-37.75,6.7542e-06,60300.2985,Fermi-GBM,14.592
bn110702187,5.62,-37.66,7.9885e-06,55744.1871,Fermi-GBM,34.369
bn150201590,11.8325,-37.6193,2.383e-06,57054.5902,Fermi-GBM,25.6
bn190810675,193.78,-37.56,2.6057e-07,58705.675,Fermi-GBM,0.16
bn150201574,11.8325,-37.6193,6.3139e-05,57054.5742,Fermi-GBM,15.616
bn200914534,256.36,-37.59,1.5381e-05,59106.5337,Fermi-GBM,65.281
bn090608052,100.19,-37.41,1.2448e-06,54990.0524,Fermi-GBM,21.504
bn111120556,344.6,-37.34,6.7277e-06,55885.5558,Fermi-GBM,98.626
bn210102861,235.737,-37.222,5.985e-06,59216.8606,Fermi-GBM,83.97
bn120926426,59.72,-37.2,4.3826e-06,56196.4259,Fermi-GBM,60.161
bn130627372,184.445,-37.086,1.5766e-06,56470.3716,Fermi-GBM,35.84
bn230320949,253.7,-37.04,1.9072e-07,60023.9487,Fermi-GBM,0.832
bn100118100,9.26,-37.37,1.4369e-06,55214.0997,Fermi-GBM,9.216
bn181116484,5.25,-23.72,1.7756e-05,58438.4839,Fermi-GBM,68.609
bn091112737,257.728,-36.715,9.8981e-06,55147.737,Fermi-GBM,24.576
bn101102840,284.68,-37.03,1.7217e-06,55502.8404,Fermi-GBM,43.52
bn251018133,282.043,-37.0265,1.9774e-06,60966.1333,Fermi-GBM,27.137
bn251202769,347.21,-23.34,7.243e-07,61011.7688,Fermi-GBM,0.512
bn230516743,148.5,29.57,1.0911e-06,60080.743,Fermi-GBM,49.92
bn141003564,321.77,-36.89,1.8542e-06,56933.564,Fermi-GBM,8.704
bn140430716,146.38,-36.88,9.1782e-06,56777.7162,Fermi-GBM,26.368
bn180610377,205.52,-36.87,8.5794e-06,58279.3772,Fermi-GBM,163.331
bn210105669,70.99,-36.83,3.0961e-07,59219.6688,Fermi-GBM,5.12
bn231116403,24.59,-36.79,5.9316e-07,60264.4032,Fermi-GBM,6.912
bn180816088,126.21,-36.71,1.6146e-05,58346.0884,Fermi-GBM,34.561
bn251215181,122.653,-36.7395,1.368e-05,61024.1815,Fermi-GBM,142.85
bn201104808,240.32,-36.73,2.4556e-06,59157.8079,Fermi-GBM,40.448
bn140911012,128.39,-36.56,6.7844e-06,56911.0119,Fermi-GBM,116.736
bn231114388,150.0,-36.55,1.5715e-07,60262.388,Fermi-GBM,0.384
bn120222119,340.0,-36.41,2.4509e-06,55979.1194,Fermi-GBM,29.44
bn090718762,274.12,-36.39,2.502e-05,55030.7623,Fermi-GBM,23.744
bn181224987,192.99,-36.3,1.5167e-07,58476.9874,Fermi-GBM,1.088
bn201130230,165.93,29.63,3.6983e-07,59183.2297,Fermi-GBM,1.28
bn190411407,285.96,-36.27,4.0735e-06,58584.4068,Fermi-GBM,18.688
bn230724049,269.02,-36.63,9.2377e-08,60149.049,Fermi-GBM,0.416
bn140110263,28.9,-36.26,5.426e-06,56667.2629,Fermi-GBM,9.472
bn260419298,311.998,-36.202,1.4308e-05,61149.2984,Fermi-GBM,35.84
bn150726877,264.38,-36.2,6.8193e-06,57229.8767,Fermi-GBM,46.849
bn210917157,75.47,-36.18,3.7459e-07,59474.1568,Fermi-GBM,7.04
bn231014102,110.07,-36.05,5.3541e-07,60231.1021,Fermi-GBM,8.448
bn250514561,250.44,29.75,8.3083e-07,60809.5612,Fermi-GBM,19.456
bn090531775,252.06,-36.05,3.1809e-07,54982.775,Fermi-GBM,0.768
bn100805845,112.72,-35.93,1.0611e-05,55413.8448,Fermi-GBM,58.43
bn141128962,321.8,-35.76,1.7603e-07,56989.9624,Fermi-GBM,0.272
bn210318131,264.227,-35.819,9.911e-07,59291.1311,Fermi-GBM,24.32
bn090528173,134.9,-35.8,6.5647e-06,54979.1729,Fermi-GBM,35.905
bn081231140,208.6,-35.8,1.6119e-05,54831.1396,Fermi-GBM,28.736
bn120908873,268.67,-35.79,1.2703e-05,56178.8733,Fermi-GBM,46.849
bn240603423,272.58,-35.78,8.3135e-06,60464.423,Fermi-GBM,36.865
bn250910993,47.58,-35.77,1.0294e-06,60928.9932,Fermi-GBM,12.8
bn210712405,97.3318,-35.3717,1.1935e-06,59407.405,Fermi-GBM,7.168
bn180311074,53.95,-35.77,7.5439e-07,58188.0735,Fermi-GBM,0.96
bn150118409,240.24,-35.75,0.00014114,57040.4085,Fermi-GBM,40.193
bn180606730,261.65,-35.67,1.2997e-06,58275.7303,Fermi-GBM,6.08
bn150527662,10.8,-35.6,5.0398e-06,57169.6623,Fermi-GBM,63.233
bn141121414,235.89,-35.6,8.7914e-07,56982.414,Fermi-GBM,3.84
bn100504806,255.58,-35.6,2.3263e-06,55320.8062,Fermi-GBM,16.512
bn100510810,355.8,-35.6,3.7181e-06,55326.8105,Fermi-GBM,31.169
bn240115698,191.894,-35.566,8.5121e-06,60324.6984,Fermi-GBM,163.076
bn220304228,244.97,-35.7,6.9942e-05,59642.2285,Fermi-GBM,31.489
bn250317824,73.51,-35.69,1.1383e-05,60751.8243,Fermi-GBM,55.297
bn250521242,197.75,-35.13,5.1467e-07,60816.2419,Fermi-GBM,3.584
bn111025078,325.62,-35.52,2.9813e-06,55859.0783,Fermi-GBM,51.712
bn131216081,91.59,-35.5,6.7779e-06,56642.0809,Fermi-GBM,19.262
bn150711766,221.627,-35.456,9.4843e-06,57214.766,Fermi-GBM,82.177
bn170923101,120.12,-35.33,2.4551e-06,58019.1007,Fermi-GBM,46.08
bn230330018,65.05,-35.22,1.0837e-06,60033.0181,Fermi-GBM,18.944
bn180910352,263.68,-34.94,8.6434e-07,58371.3525,Fermi-GBM,0.256
bn121225417,310.45,-34.83,6.958e-05,56286.4173,Fermi-GBM,58.497
bn101128322,145.47,-35.2,8.3558e-07,55528.3223,Fermi-GBM,8.192
bn230102015,272.78,-35.14,1.1508e-06,59946.0154,Fermi-GBM,0.176
bn200101861,257.43,-35.06,9.1089e-05,58849.8607,Fermi-GBM,9.984
bn171227000,280.69,-35.03,0.00028962,58114.0002,Fermi-GBM,37.633
bn170718152,102.27,-35.0,3.0268e-06,57952.1524,Fermi-GBM,40.192
bn160225809,150.19,-34.71,1.7677e-05,57443.8086,Fermi-GBM,64.257
bn221016986,38.949,-34.624,5.1056e-06,59868.9857,Fermi-GBM,12.736
bn100910818,238.1,-34.62,1.3408e-05,55449.8179,Fermi-GBM,13.824
bn090427688,356.2,-34.6,1.6151e-06,54948.6878,Fermi-GBM,12.288
bn101219686,12.2306,-34.5662,3.989e-06,55549.6863,Fermi-GBM,51.009
bn251118855,160.004,-34.5226,0.00010291,60997.8552,Fermi-GBM,46.593
bn260207238,160.45,-34.44,2.6572e-06,61078.2379,Fermi-GBM,15.488
bn181010247,52.557,-23.035,7.7576e-07,58401.2472,Fermi-GBM,9.728
bn120707800,291.06,-34.44,9.355e-05,56115.8002,Fermi-GBM,40.96
bn150214293,342.58,-34.17,2.3705e-07,57067.2926,Fermi-GBM,0.192
bn221216473,326.021,-34.405,6.8631e-06,59929.4731,Fermi-GBM,184.324
bn110409179,238.7,-34.32,3.2835e-07,55660.1787,Fermi-GBM,0.128
bn200112395,186.97,-34.31,8.6972e-07,58860.3948,Fermi-GBM,38.912
bn200929204,217.45,-34.27,1.9463e-07,59121.2036,Fermi-GBM,2.048
bn250808768,63.5525,-22.9041,2.6597e-06,60895.7675,Fermi-GBM,48.641
bn240320831,275.17,-34.22,1.6411e-06,60389.8307,Fermi-GBM,9.728
bn191205741,14.04,-34.15,9.8095e-08,58822.7405,Fermi-GBM,2.048
bn090310189,184.9,-34.2,5.5426e-06,54900.1895,Fermi-GBM,116.93
bn090829672,329.23,-34.19,7.6637e-05,55072.672,Fermi-GBM,67.585
bn141110232,253.13,-34.09,2.4307e-06,56971.2315,Fermi-GBM,36.608
bn220305481,174.41,-34.04,1.6196e-05,59643.4815,Fermi-GBM,172.803
bn160310291,245.59,-34.03,2.5374e-06,57457.2911,Fermi-GBM,23.613
bn190821716,250.077,-34.022,3.6154e-06,58716.7157,Fermi-GBM,59.904
bn081222204,22.7,-34.1,1.1887e-05,54822.2042,Fermi-GBM,18.88
bn230803977,48.74,-33.88,3.4323e-06,60159.9773,Fermi-GBM,27.905
bn161206064,0.94,-34.02,3.7214e-05,57728.0642,Fermi-GBM,33.537
bn110616648,274.45,-34.02,1.2947e-06,55728.6482,Fermi-GBM,12.544
bn170726249,166.42,-34.0,6.0235e-07,57960.2488,Fermi-GBM,1.792
bn110509142,180.81,-34.0,3.7606e-06,55690.1421,Fermi-GBM,68.864
bn120119354,65.96,-33.92,2.793e-06,55945.3538,Fermi-GBM,16.896
bn081213173,12.9,-33.9,1.2255e-07,54813.1734,Fermi-GBM,0.256
bn211109028,129.05,-33.88,1.1623e-06,59527.0276,Fermi-GBM,8.96
bn220609063,225.48,-33.9,8.4055e-07,59739.0631,Fermi-GBM,11.52
bn130614997,324.18,-33.89,6.7209e-06,56457.9973,Fermi-GBM,9.28
bn080808451,107.4,-33.8,7.1043e-07,54686.4514,Fermi-GBM,4.352
bn130819394,124.72,-33.76,8.6817e-06,56523.3941,Fermi-GBM,82.689
bn231001015,264.86,-33.75,5.9303e-06,60218.0145,Fermi-GBM,39.937
bn180810278,32.23,-33.74,2.2246e-06,58340.2783,Fermi-GBM,15.104
bn230425230,150.68,-33.87,7.9281e-08,60059.2296,Fermi-GBM,0.528
bn120506128,172.22,-33.72,2.8721e-07,56053.1285,Fermi-GBM,2.304
bn091101143,29.8,-33.68,7.8384e-06,55136.1434,Fermi-GBM,10.688
bn141031998,133.08,-33.68,8.351e-08,56961.9982,Fermi-GBM,0.16
bn180724807,285.24,-33.66,2.7823e-05,58323.8073,Fermi-GBM,58.113
bn211116586,276.24,-33.6,1.1156e-05,59534.586,Fermi-GBM,19.968
bn171223818,115.84,-33.48,1.8888e-06,58110.8182,Fermi-GBM,0.384
bn220715934,254.875,-33.5979,1.5233e-06,59775.9338,Fermi-GBM,39.68
bn220222808,191.15,-33.55,1.1132e-06,59632.8084,Fermi-GBM,10.752
bn180405169,123.62,-33.5,7.3004e-06,58213.1687,Fermi-GBM,28.477
bn090626189,170.01,-33.5,6.3046e-05,55008.189,Fermi-GBM,48.897
bn231030050,117.59,-33.49,3.7821e-06,60247.0503,Fermi-GBM,34.049
bn230921112,239.42,-33.44,1.0191e-05,60208.1122,Fermi-GBM,108.546
bn201012233,303.67,-33.46,8.5926e-06,59134.2331,Fermi-GBM,64.001
bn220905478,343.51,-33.46,1.3025e-05,59827.4783,Fermi-GBM,12.544
bn150805746,326.08,-33.4,3.8213e-07,57239.746,Fermi-GBM,1.408
bn180411546,284.13,-33.38,9.7653e-06,58219.5465,Fermi-GBM,29.696
bn111109453,133.73,-33.35,3.0487e-07,55874.4532,Fermi-GBM,4.864
bn241211100,266.66,-33.29,2.3657e-07,60655.0996,Fermi-GBM,0.576
bn240118725,305.33,-12.39,1.2158e-05,60327.7246,Fermi-GBM,30.721
bn180804554,136.71,-33.24,1.0306e-05,58334.554,Fermi-GBM,43.517
bn131209547,136.5,-33.2,1.3674e-05,56635.5472,Fermi-GBM,13.568
bn080812889,176.7,-33.2,2.4547e-06,54690.8886,Fermi-GBM,15.04
bn090108322,0.4,-32.9,5.3623e-07,54839.3218,Fermi-GBM,0.192
bn140919636,221.538,-33.1759,1.0749e-05,56919.6356,Fermi-GBM,108.546
bn190409901,229.97,-33.13,4.6128e-07,58582.9015,Fermi-GBM,1.6
bn080828189,221.3,-12.3,4.1132e-07,54706.189,Fermi-GBM,3.008
bn111022854,104.5,-33.11,1.26e-07,55856.8537,Fermi-GBM,0.192
bn160512199,240.68,-33.09,9.8679e-06,57520.1986,Fermi-GBM,78.081
bn200801650,70.54,-33.06,1.2034e-05,59062.6498,Fermi-GBM,63.745
bn160519060,138.12,-33.03,3.173e-06,57527.0602,Fermi-GBM,17.664
bn240727994,115.48,-33.01,4.0138e-06,60518.9943,Fermi-GBM,11.773
bn210723615,121.721,-32.8851,1.4503e-05,59418.6154,Fermi-GBM,42.753
bn250208211,191.4,-11.82,6.206e-06,60714.2111,Fermi-GBM,52.225
bn180804909,178.76,29.9,4.9051e-07,58334.9091,Fermi-GBM,4.608
bn171117515,196.81,-33.0,1.0845e-05,58074.515,Fermi-GBM,105.922
bn090129880,269.0,-32.8,5.5712e-06,54860.88,Fermi-GBM,16.64
bn160111115,310.24,-32.78,2.6274e-06,57398.1146,Fermi-GBM,26.88
bn170429799,259.71,-32.77,3.7615e-05,57872.7995,Fermi-GBM,220.163
bn140901821,15.82,-32.76,5.123e-06,56901.8206,Fermi-GBM,0.176
bn170106968,39.41,-32.72,1.0747e-06,57759.9679,Fermi-GBM,31.232
bn260308837,250.24,-32.61,9.7836e-07,61107.8374,Fermi-GBM,1.024
bn130123843,314.57,-10.87,1.4887e-06,56315.8433,Fermi-GBM,22.016
bn250309318,210.58,-10.86,7.5911e-06,60743.3184,Fermi-GBM,6.4
bn220404741,25.57,-10.83,4.1898e-06,59673.7412,Fermi-GBM,82.176
bn211207416,54.32,-32.82,2.0117e-05,59555.4161,Fermi-GBM,120.322
bn150122960,151.23,-32.6,3.1678e-06,57044.9601,Fermi-GBM,53.249
bn240112742,217.66,-32.59,7.6637e-07,60321.7418,Fermi-GBM,1.28
bn140701833,285.44,-32.59,2.609e-06,56839.833,Fermi-GBM,6.912
bn151120349,157.25,-32.5237,9.6457e-06,57346.3492,Fermi-GBM,28.416
bn220627901,201.2,-32.5,1.0839e-05,59757.9007,Fermi-GBM,126.978
bn220627890,201.2,-32.5,4.5358e-05,59757.8896,Fermi-GBM,136.706
bn250226938,284.42,-10.82,8.9924e-06,60732.9378,Fermi-GBM,25.857
bn230207021,234.27,-32.49,2.6441e-06,59982.0213,Fermi-GBM,22.528
bn140329295,145.698,-32.229,6.7004e-05,56745.2949,Fermi-GBM,21.248
bn191111347,130.54,-32.47,8.0049e-07,58798.3466,Fermi-GBM,5.376
bn250331070,101.41,-32.39,1.2484e-06,60765.07,Fermi-GBM,20.992
