time,position,measured_position,velocity,measured_velocity,heading,observed,hidden_state,control_input,seed,controller,world_mode,orientation
0.5,"(-0.6047839154434891, -0.25030714345726396)","(-0.6047839154434891, -0.25030714345726396)","(-1.2095678308869782, -0.5006142869145279)","(-1.2095678308869782, -0.5006142869145279)",-2.7491794812213395,True,"{'position': (0.0, 0.0), 'velocity': (0.0, 0.0), 'heading': 0.0}","(-1.6127571078493044, -0.6674857158860372)",46,random_walk,continuous_baseline,0.0
1.0,"(-0.428024388605092, -0.8334524549965967)","(-0.428024388605092, -0.8334524549965967)","(0.35351905367679415, -1.1662906230786656)","(0.35351905367679415, -1.1662906230786656)",-1.2764850761227582,True,"{'position': (0.0, 0.0), 'velocity': (0.0, 0.0), 'heading': 0.0}","(0.8745480151980516, -1.3881827351333782)",46,random_walk,continuous_baseline,0.0
1.5,"(-0.07291098287802855, -0.429737222371723)","(-0.07291098287802855, -0.429737222371723)","(0.7102268114541269, 0.8074304652497474)","(0.7102268114541269, 0.8074304652497474)",0.8493592861880848,True,"{'position': (0.0, 0.0), 'velocity': (0.0, 0.0), 'heading': 0.0}","(0.8291293973799045, 1.4653374946925517)",46,random_walk,continuous_baseline,0.0
2.0,"(-0.4890461247307359, -0.8833914686800908)","(-0.4890461247307359, -0.8833914686800908)","(-0.8322702837054147, -0.9073084926167356)","(-0.8322702837054147, -0.9073084926167356)",-2.3130853648191967,True,"{'position': (0.0, 0.0), 'velocity': (0.0, 0.0), 'heading': 0.0}","(-1.5913351252383174, -1.7478786092456953)",46,random_walk,continuous_baseline,0.0
2.5,"(-0.3594695584158462, -1.4190041611918045)","(-0.3594695584158462, -1.4190041611918045)","(0.25915313262977935, -1.0712253850234275)","(0.25915313262977935, -1.0712253850234275)",-1.3334346902208465,True,"{'position': (0.0, 0.0), 'velocity': (0.0, 0.0), 'heading': 0.0}","(0.622960938074844, -1.1258643491589915)",46,random_walk,continuous_baseline,0.0
3.0,"(-0.31804715714033915, -1.3070407276771965)","(-0.31804715714033915, -1.3070407276771965)","(0.08284480255101417, 0.22392686702921583)","(0.08284480255101417, 0.22392686702921583)",1.2164483750984667,True,"{'position': (0.0, 0.0), 'velocity': (0.0, 0.0), 'heading': 0.0}","(0.024075359191425783, 0.6556442843800969)",46,random_walk,continuous_baseline,0.0
3.5,"(-0.7207120944714414, -1.9050802483372316)","(-0.7207120944714414, -1.9050802483372316)","(-0.8053298746622045, -1.1960790413200704)","(-0.8053298746622045, -1.1960790413200704)",-2.163382859396599,True,"{'position': (0.0, 0.0), 'velocity': (0.0, 0.0), 'heading': 0.0}","(-1.1376247550927006, -1.7243395708279086)",46,random_walk,continuous_baseline,0.0
4.0,"(-1.3646318283169374, -1.5375063487651626)","(-1.3646318283169374, -1.5375063487651626)","(-1.287839467690992, 0.735147799144138)","(-1.287839467690992, 0.735147799144138)",2.6228917980850457,True,"{'position': (0.0, 0.0), 'velocity': (0.0, 0.0), 'heading': 0.0}","(-1.5450365189289235, 1.4706087006456148)",46,random_walk,continuous_baseline,0.0
4.5,"(-1.4824980765361928, -0.8226829996172776)","(-1.4824980765361928, -0.8226829996172776)","(-0.23573249643851074, 1.4296466982957698)","(-0.23573249643851074, 1.4296466982957698)",1.734214532837138,True,"{'position': (0.0, 0.0), 'velocity': (0.0, 0.0), 'heading': 0.0}","(0.11496982731231631, 1.661146331346314)",46,random_walk,continuous_baseline,0.0
5.0,"(-1.8244691786027716, -0.13172971944252077)","(-1.8244691786027716, -0.13172971944252077)","(-0.6839422041331575, 1.3819065603495138)","(-0.6839422041331575, 1.3819065603495138)",2.0303769201723947,True,"{'position': (0.0, 0.0), 'velocity': (0.0, 0.0), 'heading': 0.0}","(-0.8333454400313731, 1.3659931810340953)",46,random_walk,continuous_baseline,0.0
5.5,"(-1.4584723507695976, 0.21126655792270038)","(-1.4584723507695976, 0.21126655792270038)","(0.7319936556663479, 0.6859925547304423)","(0.7319936556663479, 0.6859925547304423)",0.7529683885772381,True,"{'position': (0.0, 0.0), 'velocity': (0.0, 0.0), 'heading': 0.0}","(1.2039722755995164, 0.45402121952408514)",46,random_walk,continuous_baseline,0.0
6.0,"(-0.6829597368932389, 0.4465543623333156)","(-0.6829597368932389, 0.4465543623333156)","(1.5510252277527175, 0.4705756088212304)","(1.5510252277527175, 0.4705756088212304)",0.2945699193934243,True,"{'position': (0.0, 0.0), 'velocity': (0.0, 0.0), 'heading': 0.0}","(1.8240357517815071, 0.39876996018482647)",46,random_walk,continuous_baseline,0.0
