event_id,energy,arrival_time,ra,dec,instrument,epoch
GRB 050813,3.65e-08,,241.987375,11.249194,Swift-BAT,swift_bat3_grb_catalog
GRB 050814,1.95e-06,,264.189125,46.33933,Swift-BAT,swift_bat3_grb_catalog
GRB 050815,7.88e-08,,293.596446,9.14652,Swift-BAT,swift_bat3_grb_catalog
GRB 050819,3.06e-07,,358.75675,24.860833,Swift-BAT,swift_bat3_grb_catalog
GRB 050820A,0.0,,337.40879,19.56031,Swift-BAT,swift_bat3_grb_catalog
GRB 050820B,2.05e-06,,135.60429,-72.64556,Swift-BAT,swift_bat3_grb_catalog
GRB 050822,2.48e-06,,51.11325,-46.033333,Swift-BAT,swift_bat3_grb_catalog
GRB 050824,2.73e-07,,12.23375,22.60889,Swift-BAT,swift_bat3_grb_catalog
GRB 050826,4.2e-07,,87.75658,-2.643278,Swift-BAT,swift_bat3_grb_catalog
GRB 050827,2.09e-06,,64.290042,18.200389,Swift-BAT,swift_bat3_grb_catalog
GRB 050904,5.2e-06,,13.71164,14.08595,Swift-BAT,swift_bat3_grb_catalog
GRB 050906,6.07e-09,,52.806,-14.621,Swift-BAT,swift_bat3_grb_catalog
GRB 050908,4.83e-07,,20.46146,-12.95478,Swift-BAT,swift_bat3_grb_catalog
GRB 050911,3.19e-07,,13.714,-38.86,Swift-BAT,swift_bat3_grb_catalog
GRB 050915A,8.45e-07,,81.686683,-28.016464,Swift-BAT,swift_bat3_grb_catalog
GRB 050915B,3.41e-06,,219.10825,-67.409333,Swift-BAT,swift_bat3_grb_catalog
GRB 050916,1.11e-06,,135.988125,-51.428806,Swift-BAT,swift_bat3_grb_catalog
GRB 050918,0.0,,267.6195,-25.4114,Swift-BAT,swift_bat3_grb_catalog
GRB 050922A,0.0,,271.1541,-32.0235,Swift-BAT,swift_bat3_grb_catalog
GRB 050922B,2.36e-06,,5.805708,-5.604639,Swift-BAT,swift_bat3_grb_catalog
GRB 050922C,1.62e-06,,317.38875,-8.757639,Swift-BAT,swift_bat3_grb_catalog
GRB 050925,7.66e-08,,303.487,34.33,Swift-BAT,swift_bat3_grb_catalog
GRB 051001,1.76e-06,,350.953,-31.523167,Swift-BAT,swift_bat3_grb_catalog
GRB 051006,1.24e-06,,110.808917,9.505556,Swift-BAT,swift_bat3_grb_catalog
GRB 051008,0.0,,202.873417,42.098167,Swift-BAT,swift_bat3_grb_catalog
GRB 051012,2.06e-07,,270.535,-52.783,Swift-BAT,swift_bat3_grb_catalog
GRB 051016A,8.38e-07,,122.81925,-18.298,Swift-BAT,swift_bat3_grb_catalog
GRB 051016B,1.7e-07,,132.11588,13.65556,Swift-BAT,swift_bat3_grb_catalog
GRB 051021A,0.0,,29.15163,9.06769,Swift-BAT,swift_bat3_grb_catalog
GRB 051021B,8.22e-07,,126.050958,-45.541111,Swift-BAT,swift_bat3_grb_catalog
GRB 051022,0.0,,359.01708,19.60672,Swift-BAT,swift_bat3_grb_catalog
GRB 051028,0.0,,27.06254,47.75256,Swift-BAT,swift_bat3_grb_catalog
GRB 051105A,1.67e-08,,265.3,34.945,Swift-BAT,swift_bat3_grb_catalog
GRB 051105B,0.0,,9.4771,-40.4812,Swift-BAT,swift_bat3_grb_catalog
GRB 051109A,2.17e-06,,330.313804,40.823142,Swift-BAT,swift_bat3_grb_catalog
GRB 051109B,2.26e-07,,345.459833,38.679639,Swift-BAT,swift_bat3_grb_catalog
GRB 051111,4.27e-06,,348.13833,18.37475,Swift-BAT,swift_bat3_grb_catalog
GRB 051113,2.58e-06,,187.244,-26.392,Swift-BAT,swift_bat3_grb_catalog
GRB 051114,1.24e-07,,226.273,60.157,Swift-BAT,swift_bat3_grb_catalog
