time,position,measured_position,velocity,measured_velocity,heading,observed,hidden_state,control_input,seed,controller,world_mode,orientation
0.05,"(0.053033008588991064, 0.053033008588991064)","(0.05492716935473715, 0.07803349621066208)","(1.0606601717798212, 1.0606601717798212)","(1.0420326044254071, 1.080507717390206)",0.7853981633974483,True,"{'position': (0.053033008588991064, 0.053033008588991064), 'velocity': (1.0606601717798212, 1.0606601717798212), 'heading': 0.7853981633974483}","(5.0, 5.0)",3,proportional,observer_triggered_updates,0.0
0.1,"(0.11944831462752467, 0.11919993319736691)","(0.05492716935473715, 0.07803349621066208)","(1.3283061207706723, 1.3233384921675166)","(1.0420326044254071, 1.080507717390206)",0.783524751414812,False,"{'position': (0.04879036790187178, 0.04879036790187178), 'velocity': (0.9758073580374356, 0.9758073580374356), 'heading': 0.7853981633974483}","(4.9450728306452625, 4.921966503789338)",3,proportional,observer_triggered_updates,0.0
0.15000000000000002,"(0.1892091950284439, 0.18865033681058896)","(0.05492716935473715, 0.07803349621066208)","(1.3952176080183851, 1.3890080722644407)","(1.0420326044254071, 1.080507717390206)",0.7831679111939529,False,"{'position': (0.04488713846972204, 0.04488713846972204), 'velocity': (0.8977427693944408, 0.8977427693944408), 'heading': 0.7853981633974483}","(4.9450728306452625, 4.921966503789338)",3,proportional,observer_triggered_updates,0.0
0.2,"(0.2598064690199596, 0.2589216101750225)","(0.05492716935473715, 0.07803349621066208)","(1.4119454798303135, 1.4054254672886715)","(1.0420326044254071, 1.080507717390206)",0.7830839488248864,False,"{'position': (0.04129616739214428, 0.04129616739214428), 'velocity': (0.8259233478428856, 0.8259233478428856), 'heading': 0.7853981633974483}","(4.9450728306452625, 4.921966503789338)",3,proportional,observer_triggered_updates,0.0
0.25,"(0.33061284140912434, 0.32939810097725897)","(0.32542975065525565, 0.32416788129763546)","(1.4161274477832955, 1.4095298160447292)","(1.4541219533525906, 1.4126805574774035)",0.7830632660149941,True,"{'position': (0.33061284140912434, 0.32939810097725897), 'velocity': (1.4161274477832955, 1.4095298160447292), 'heading': 0.7830632660149941}","(4.9450728306452625, 4.921966503789338)",3,proportional,observer_triggered_updates,0.0
0.3,"(0.4013402856233717, 0.4000573887729834)","(0.32542975065525565, 0.32416788129763546)","(1.4145488842849476, 1.4131857559144887)","(1.4541219533525906, 1.4126805574774035)",0.7849161067555367,False,"{'position': (0.3041638140963944, 0.30304625289907827), 'velocity': (1.302837251960632, 1.296767430761151), 'heading': 0.7830632660149941}","(4.674570249344744, 4.675832118702364)",3,proportional,observer_triggered_updates,0.0
0.35,"(0.47204799779388973, 0.47076237581707986)","(0.32542975065525565, 0.32416788129763546)","(1.4141542434103607, 1.4140997408819287)","(1.4541219533525906, 1.4126805574774035)",0.7853788926640813,False,"{'position': (0.2798307089686829, 0.27880255266715204), 'velocity': (1.1986102718037814, 1.193026036300259), 'heading': 0.7830632660149941}","(4.674570249344744, 4.675832118702364)",3,proportional,observer_triggered_updates,0.0
0.39999999999999997,"(0.5427507769534754, 0.5414787876732693)","(0.32542975065525565, 0.32416788129763546)","(1.4140555831917139, 1.4143282371237886)","(1.4541219533525906, 1.4126805574774035)",0.7854945625952063,False,"{'position': (0.2574442522511883, 0.2564983484537799), 'velocity': (1.1027214500594789, 1.0975839533962384), 'heading': 0.7830632660149941}","(4.674570249344744, 4.675832118702364)",3,proportional,observer_triggered_updates,0.0
0.44999999999999996,"(0.613452322860328, 0.612198055732482)","(0.6125938377844832, 0.6267880254611942)","(1.4140309181370523, 1.4143853611842536)","(1.4365679973847294, 1.413768495683555)",0.7855234784184151,True,"{'position': (0.613452322860328, 0.612198055732482), 'velocity': (1.4140309181370523, 1.4143853611842536), 'heading': 0.7855234784184151}","(4.674570249344744, 4.675832118702364)",3,proportional,observer_triggered_updates,0.0
0.49999999999999994,"(0.6842465737020816, 0.6828248863417121)","(0.6125938377844832, 0.6267880254611942)","(1.4158850168350723, 1.4125366121846028)","(1.4365679973847294, 1.413768495683555)",0.7842143218329967,False,"{'position': (0.5643761370315018, 0.5632222112738835), 'velocity': (1.3009084446860881, 1.3012345322895134), 'heading': 0.7855234784184151}","(4.387406162215517, 4.373211974538806)",3,proportional,observer_triggered_updates,0.0
0.5499999999999999,"(0.7550640007775605, 0.7534286075884467)","(0.6125938377844832, 0.6267880254611942)","(1.4163485415095773, 1.4120744249346902)","(1.4365679973847294, 1.413768495683555)",0.783887033919198,False,"{'position': (0.5192260460689817, 0.5181644343719728), 'velocity': (1.196835769111201, 1.1971357697063523), 'heading': 0.7855234784184151}","(4.387406162215517, 4.373211974538806)",3,proportional,observer_triggered_updates,0.0
0.6,"(0.8258872219114707, 0.8240265514945573)","(0.6125938377844832, 0.6267880254611942)","(1.4164644226782035, 1.411958878122212)","(1.4365679973847294, 1.413768495683555)",0.7838052120369554,False,"{'position': (0.47768796238346317, 0.476711279622215), 'velocity': (1.101088907582305, 1.1013649081298442), 'heading': 0.7855234784184151}","(4.387406162215517, 4.373211974538806)",3,proportional,observer_triggered_updates,0.0
0.65,"(0.8967118915599886, 0.8946230510655119)","(0.908471766463596, 0.8751485639161979)","(1.4164933929703603, 1.4119299914190924)","(1.4091575835707497, 1.4031674907310367)",0.7837847565727071,True,"{'position': (0.8967118915599886, 0.8946230510655119), 'velocity': (1.4164933929703603, 1.4119299914190924), 'heading': 0.7837847565727071}","(4.387406162215517, 4.373211974538806)",3,proportional,observer_triggered_updates,0.0
0.7000000000000001,"(0.9672355469961101, 0.9655198327971714)","(0.908471766463596, 0.8751485639161979)","(1.410473108722429, 1.4179356346331888)","(1.4091575835707497, 1.4031674907310367)",0.788036575759943,False,"{'position': (0.8249749402351896, 0.823053206980271), 'velocity': (1.3031739215327316, 1.298975592105565), 'heading': 0.7837847565727071}","(4.091528233536404, 4.1248514360838024)",3,proportional,observer_triggered_updates,0.0
0.7500000000000001,"(1.0376839488791325, 1.036491685069007)","(0.908471766463596, 0.8751485639161979)","(1.408968037660446, 1.419437045436713)","(1.4091575835707497, 1.4031674907310367)",0.7890995285342723,False,"{'position': (0.7589769450163745, 0.7572089504218493), 'velocity': (1.1989200078101132, 1.19505754473712), 'heading': 0.7837847565727071}","(4.091528233536404, 4.1248514360838024)",3,proportional,observer_triggered_updates,0.0
0.8000000000000002,"(1.10811353737388, 1.1074823049758866)","(0.908471766463596, 0.8751485639161979)","(1.4085917698949504, 1.4198123981375939)","(1.4091575835707497, 1.4031674907310367)",0.7893652659446544,False,"{'position': (0.6982587894150646, 0.6966322343881014), 'velocity': (1.1030064071853043, 1.0994529411581504), 'heading': 0.7837847565727071}","(4.091528233536404, 4.1248514360838024)",3,proportional,observer_triggered_updates,0.0
0.8500000000000002,"(1.1785384225215587, 1.1784776167915274)","(1.1518927592297357, 1.1483073342483059)","(1.4084977029535763, 1.4199062363128143)","(1.3759594483544357, 1.4151331792039383)",0.7894317002380378,True,"{'position': (1.1785384225215587, 1.1784776167915274), 'velocity': (1.4084977029535763, 1.4199062363128143), 'heading': 0.7894317002380378}","(4.091528233536404, 4.1248514360838024)",3,proportional,observer_triggered_updates,0.0
