condition,detector_overlap,bin_index,screen_position,probability,hit_count
one_slit,,0,-40.0,0.5727866971849187,68
one_slit,,1,-39.59798995,0.5795961639536304,63
one_slit,,2,-39.1959799,0.5863988977596718,77
one_slit,,3,-38.79396985,0.5931934427493712,55
one_slit,,4,-38.3919598,0.5999783382160476,67
one_slit,,5,-37.98994975,0.6067521190430524,65
one_slit,,6,-37.5879397,0.6135133161496621,72
one_slit,,7,-37.18592965,0.6202604569396567,72
one_slit,,8,-36.7839196,0.6269920657524222,73
one_slit,,9,-36.38190955,0.6337066643164067,70
one_slit,,10,-35.9798995,0.6404027722047726,62
one_slit,,11,-35.57788945,0.6470789072930665,83
one_slit,,12,-35.1758794,0.6537335862187456,79
one_slit,,13,-34.77386935,0.6603653248423879,68
one_slit,,14,-34.3718593,0.6669726387104141,82
one_slit,,15,-33.96984925,0.6735540435191513,67
one_slit,,16,-33.5678392,0.6801080555800644,76
one_slit,,17,-33.16582915,0.6866331922859817,102
one_slit,,18,-32.7638191,0.6931279725781425,79
one_slit,,19,-32.36180905,0.6995909174138872,80
one_slit,,20,-31.95979899,0.7060205503943306,72
one_slit,,21,-31.55778894,0.7124153975938915,86
one_slit,,22,-31.15577889,0.718773988988544,82
one_slit,,23,-30.75376884,0.7250948582837118,101
one_slit,,24,-30.35175879,0.7313765435429038,93
one_slit,,25,-29.94974874,0.7376175876555807,110
one_slit,,26,-29.54773869,0.7438165388044288,82
one_slit,,27,-29.14572864,0.7499719509318671,103
one_slit,,28,-28.74371859,0.7560823842056117,94
one_slit,,29,-28.34170854,0.7621464054831144,86
one_slit,,30,-27.93969849,0.768162588774704,98
one_slit,,31,-27.53768844,0.7741295157052529,89
one_slit,,32,-27.13567839,0.7800457759741898,107
one_slit,,33,-26.73366834,0.7859099678136852,99
one_slit,,34,-26.33165829,0.7917206984448323,104
one_slit,,35,-25.92964824,0.7974765845316512,95
one_slit,,36,-25.52763819,0.8031762526327374,108
one_slit,,37,-25.12562814,0.8088183396503876,108
one_slit,,38,-24.72361809,0.8144014932770218,89
one_slit,,39,-24.32160804,0.8199243724387361,95
one_slit,,40,-23.91959799,0.8253856477358146,103
one_slit,,41,-23.51758794,0.8307840018800264,89
one_slit,,42,-23.11557789,0.8361181301285419,118
one_slit,,43,-22.71356784,0.8413867407142999,113
one_slit,,44,-22.31155779,0.8465885552726584,102
one_slit,,45,-21.90954774,0.8517223092641654,99
